V,S,F
0.0, 0.44737302670130524, 0.2587762865841796
0.2, 0.4264801546188986, 0.243419390564668
0.4, 0.40684057003490587, 0.22903996333116083
0.6, 0.3880727813929762, 0.21540032520715613
0.8, 0.36995181113007924, 0.20237226757308235
1.0, 0.3523575278765553, 0.18989524444259587
1.2, 0.3352409970228841, 0.17794982541454374
1.4, 0.3185999857132088, 0.16653967798265512
1.6, 0.3024604203159893, 0.15567942326379125
1.8, 0.2868624696319021, 0.1453859238717996
2.0, 0.2718501661990734, 0.13567283100201166
2.2, 0.2574640959237783, 0.12654742177255685
2.4, 0.24373672625765988, 0.1180090041270887
2.6, 0.23069010978185298, 0.11004913810393191
2.8, 0.21833502443223513, 0.10265198173874523
3.0, 0.20667152814984943, 0.09579588255655835
3.2, 0.19569013256339554, 0.08945471448532771
3.4, 0.18537358473525406, 0.08359923003445147
3.6, 0.17569835856260396, 0.07819847841165029
3.8, 0.1666365055970352, 0.07322081447637174
4.0, 0.15815707972250528, 0.06863478192099137
