============================================================
Quench simulation started: 2026-07-03T11:25:36.815
N_sites = 200, T_max = 10.0, dt = 0.05, bond_dim = 1500
Pre-quench parameters: v=1.0, w=1.0, Δ=0.0, V=0.5
Post-quench parameters: v=1.0, w=1.0, Δ=0.0, V=1.0
============================================================
Preparing interacting ground state (t < 0)...
Initial Ground State Energy: -162.59723088758437 (DMRG took 76.05 seconds)
Initial max bond dimension: 166
Constructing TEBD gates for quench...
Starting time evolution...
t = 0.0, S_EE = 1.1276, F = 0.3122, χ = 148 / 1500, step_time = 19.1893 s, elapsed_time = 23.3649 s, estimated_remaining_time = 4672.98 s
t = 0.05, S_EE = 1.1277, F = 0.3121, χ = 140 / 1500, step_time = 1.7753 s, elapsed_time = 30.719 s, estimated_remaining_time = 3056.5405 s
t = 0.1, S_EE = 1.1281, F = 0.3117, χ = 135 / 1500, step_time = 1.7825 s, elapsed_time = 34.0912 s, estimated_remaining_time = 2250.0192 s
t = 0.15, S_EE = 1.1286, F = 0.311, χ = 133 / 1500, step_time = 1.4238 s, elapsed_time = 37.056 s, estimated_remaining_time = 1825.008 s
t = 0.2, S_EE = 1.1292, F = 0.3102, χ = 131 / 1500, step_time = 1.3889 s, elapsed_time = 40.2534 s, estimated_remaining_time = 1577.9333 s
t = 0.25, S_EE = 1.13, F = 0.3091, χ = 129 / 1500, step_time = 1.3385 s, elapsed_time = 43.3783 s, estimated_remaining_time = 1409.7948 s
t = 0.3, S_EE = 1.1308, F = 0.3079, χ = 128 / 1500, step_time = 1.6586 s, elapsed_time = 46.5327 s, estimated_remaining_time = 1289.6205 s
t = 0.35, S_EE = 1.1315, F = 0.3066, χ = 128 / 1500, step_time = 1.3371 s, elapsed_time = 49.3215 s, estimated_remaining_time = 1189.8812 s
t = 0.4, S_EE = 1.1323, F = 0.3052, χ = 128 / 1500, step_time = 1.3409 s, elapsed_time = 52.3946 s, estimated_remaining_time = 1117.7515 s
t = 0.45, S_EE = 1.133, F = 0.3038, χ = 128 / 1500, step_time = 1.2196 s, elapsed_time = 55.4587 s, estimated_remaining_time = 1059.2612 s
t = 0.5, S_EE = 1.1337, F = 0.3025, χ = 128 / 1500, step_time = 1.6921 s, elapsed_time = 58.6353 s, estimated_remaining_time = 1012.7915 s
t = 0.55, S_EE = 1.1344, F = 0.3012, χ = 128 / 1500, step_time = 1.3416 s, elapsed_time = 61.3726 s, estimated_remaining_time = 966.6184 s
t = 0.6, S_EE = 1.1351, F = 0.3, χ = 130 / 1500, step_time = 1.3526 s, elapsed_time = 64.4681 s, estimated_remaining_time = 932.3079 s
t = 0.65, S_EE = 1.1358, F = 0.299, χ = 130 / 1500, step_time = 1.6786 s, elapsed_time = 67.7506 s, estimated_remaining_time = 904.9544 s
t = 0.7, S_EE = 1.1366, F = 0.2981, χ = 131 / 1500, step_time = 1.7911 s, elapsed_time = 71.0327 s, estimated_remaining_time = 880.8055 s
t = 0.75, S_EE = 1.1373, F = 0.2973, χ = 132 / 1500, step_time = 1.3886 s, elapsed_time = 73.8738 s, estimated_remaining_time = 854.1658 s
t = 0.8, S_EE = 1.1381, F = 0.2967, χ = 133 / 1500, step_time = 1.4618 s, elapsed_time = 77.1369 s, estimated_remaining_time = 834.8935 s
t = 0.85, S_EE = 1.1389, F = 0.2962, χ = 134 / 1500, step_time = 1.7568 s, elapsed_time = 80.4668 s, estimated_remaining_time = 818.0791 s
t = 0.9, S_EE = 1.1398, F = 0.2959, χ = 135 / 1500, step_time = 1.8233 s, elapsed_time = 83.916 s, estimated_remaining_time = 803.8269 s
t = 0.95, S_EE = 1.1406, F = 0.2956, χ = 136 / 1500, step_time = 1.5049 s, elapsed_time = 87.0705 s, estimated_remaining_time = 787.988 s
t = 1.0, S_EE = 1.1415, F = 0.2955, χ = 137 / 1500, step_time = 1.5139 s, elapsed_time = 90.5047 s, estimated_remaining_time = 775.7546 s
t = 1.05, S_EE = 1.1425, F = 0.2954, χ = 138 / 1500, step_time = 1.5764 s, elapsed_time = 94.0217 s, estimated_remaining_time = 764.9947 s
t = 1.1, S_EE = 1.1434, F = 0.2953, χ = 140 / 1500, step_time = 1.8184 s, elapsed_time = 98.2156 s, estimated_remaining_time = 760.1033 s
t = 1.15, S_EE = 1.1444, F = 0.2953, χ = 142 / 1500, step_time = 1.542 s, elapsed_time = 102.0672 s, estimated_remaining_time = 752.7456 s
t = 1.2, S_EE = 1.1455, F = 0.2953, χ = 143 / 1500, step_time = 2.4037 s, elapsed_time = 106.2265 s, estimated_remaining_time = 747.8346 s
t = 1.25, S_EE = 1.1466, F = 0.2953, χ = 145 / 1500, step_time = 1.9662 s, elapsed_time = 110.1723 s, estimated_remaining_time = 741.5443 s
t = 1.3, S_EE = 1.1477, F = 0.2952, χ = 147 / 1500, step_time = 2.2351 s, elapsed_time = 114.274 s, estimated_remaining_time = 736.4324 s
t = 1.35, S_EE = 1.1489, F = 0.2951, χ = 149 / 1500, step_time = 2.6357 s, elapsed_time = 118.8651 s, estimated_remaining_time = 734.4165 s
t = 1.4, S_EE = 1.1501, F = 0.295, χ = 151 / 1500, step_time = 2.1266 s, elapsed_time = 123.0404 s, estimated_remaining_time = 729.7569 s
t = 1.45, S_EE = 1.1513, F = 0.2948, χ = 154 / 1500, step_time = 2.2965 s, elapsed_time = 127.605 s, estimated_remaining_time = 727.3485 s
t = 1.5, S_EE = 1.1525, F = 0.2946, χ = 157 / 1500, step_time = 2.3262 s, elapsed_time = 132.2936 s, estimated_remaining_time = 725.481 s
t = 1.55, S_EE = 1.1538, F = 0.2944, χ = 160 / 1500, step_time = 2.2494 s, elapsed_time = 136.9595 s, estimated_remaining_time = 723.3174 s
t = 1.6, S_EE = 1.155, F = 0.2941, χ = 164 / 1500, step_time = 2.0823 s, elapsed_time = 141.7663 s, estimated_remaining_time = 721.7193 s
t = 1.65, S_EE = 1.1563, F = 0.2939, χ = 167 / 1500, step_time = 2.5201 s, elapsed_time = 146.9067 s, estimated_remaining_time = 721.5711 s
t = 1.7, S_EE = 1.1576, F = 0.2936, χ = 170 / 1500, step_time = 2.6357 s, elapsed_time = 152.218 s, estimated_remaining_time = 721.9482 s
t = 1.75, S_EE = 1.1588, F = 0.2934, χ = 173 / 1500, step_time = 3.9201 s, elapsed_time = 159.4139 s, estimated_remaining_time = 730.647 s
